timestamp,ingestion_time,SCA,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDSI,CLOUD_COVER,ID,GRANULE_ID,NDSI_MASK
2019-01-01 00:00:00.000000,2022-06-28 22:44:14.696029,,,,,,,,,,,,,,,100.0,La Paloma ZA,T19HCD,
2019-01-01 00:00:00.000000,2022-06-28 22:44:14.696029,,,,,,,,,,,,,,,100.0,La Paloma ZB,T19HCD,
2019-01-01 00:00:00.000000,2022-06-28 22:44:14.696029,415.93,0.8400073442060458,0.8711427376489648,0.8836643461260095,0.8539342381373893,0.8349020062939837,0.7907504293698584,0.7178410636879257,0.702850928317168,0.6515590291857462,0.6273762258189506,0.016514468896747653,0.01719905422364954,0.9621349097064832,0.0,Juncal ZA,T19HCD,0.9968513097979798
2019-01-01 00:00:00.000000,2022-06-28 22:44:14.696029,70.92,0.5394694482031336,0.5878679899996903,0.6212034828073403,0.6112625454911284,0.5997365846499814,0.5661060562343323,0.5131528993822513,0.5019931721300247,0.46501976874145967,0.4132132042004349,0.012076783992871785,0.011362182391230359,0.9578132720045652,0.0,Juncal ZB,T19HCD,0.9991360555047027
2019-01-01 00:00:00.000000,2022-06-28 22:44:14.696029,615.59,0.7582806212717931,0.8157876493953918,0.8473503446734827,0.8213165515737233,0.7996548215153703,0.7521484950969028,0.6744662898205971,0.6564487669435805,0.6034256978401388,0.542553696187976,0.011574731234887557,0.011698547730385077,0.9725359971412482,0.0,Olivares ZA,T19HCD,0.9995013436901983
2019-01-01 00:00:00.000000,2022-06-28 22:44:14.696029,179.06,0.5302275967683114,0.5776636586466222,0.6104458015444415,0.6116627958458709,0.6046009986509265,0.5739399039653424,0.5258504049881094,0.5153391116630058,0.4774989765574706,0.4253279021300559,0.009260247259125042,0.00918534995159943,0.9677156884104142,0.0,Olivares ZB,T19HCD,1.0
2019-01-01 00:00:00.000000,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,La Paloma ZA,T19HDD,
2019-01-01 00:00:00.000000,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,La Paloma ZB,T19HDD,
2019-01-01 00:00:00.000000,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,Juncal ZA,T19HDD,
2019-01-01 00:00:00.000000,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,Juncal ZB,T19HDD,
2019-01-01 00:00:00.000000,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,Olivares ZA,T19HDD,
2019-01-01 00:00:00.000000,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,Olivares ZB,T19HDD,
2019-01-04 00:00:00.000000,2022-06-28 22:50:06.425428,40.66,0.5553977569923864,0.6076894312669955,0.6421013945211275,0.6291181343720039,0.619249456088509,0.5978913041715919,0.5564459900520944,0.5399845424330119,0.5126374844383044,0.46472755593043436,0.01937463756926773,0.022769243136929254,0.939934293802128,0.0,La Paloma ZA,T19HCD,0.9986218850065335
2019-01-04 00:00:00.000000,2022-06-28 22:50:06.425428,26.2,0.40093512263996883,0.4492396100409368,0.48587626457747346,0.4853122065622371,0.48030626878039157,0.4647700445569214,0.43759091272138195,0.42939902779460337,0.40762449449058713,0.36799973107303235,0.017537577832520426,0.019905605736310852,0.9260852162352033,0.0,La Paloma ZB,T19HCD,0.9963116022991907
2019-01-04 00:00:00.000000,2022-06-28 22:50:06.425428,415.93,0.7990605289414551,0.8348965374969141,0.857566239328933,0.8304273928880942,0.8107828897999974,0.7681134154891612,0.6925139007444512,0.6665382319978603,0.6203323816916734,0.5851512176786753,0.013843949023864129,0.016330455456326512,0.9658074035435016,0.0,Juncal ZA,T19HCD,0.9961499244629302
2019-01-04 00:00:00.000000,2022-06-28 22:50:06.425428,70.92,0.4852324688360901,0.5229996523217613,0.5542968434795696,0.5481306013230577,0.5385803464511403,0.5111742424041447,0.46491684592271354,0.44747615093104853,0.41875911569228297,0.3714999132186241,0.009020161800276707,0.010036306231013129,0.9642053142903042,0.0,Juncal ZB,T19HCD,0.9998424669346387
2019-01-04 00:00:00.000000,2022-06-28 22:50:06.425428,615.59,0.7236768217756208,0.772724113867388,0.8117111145828132,0.793839583437208,0.7744967506311266,0.731748701725878,0.6553941517259296,0.6269673970631061,0.5836691213259102,0.5221406225254164,0.008953839000643758,0.010519059557642423,0.9773501043655077,0.0,Olivares ZA,T19HCD,0.9994889855752135
2019-01-04 00:00:00.000000,2022-06-28 22:50:06.425428,179.06,0.49020492785904546,0.5285813486025122,0.56172443108501,0.5671255227044777,0.5616725259413997,0.5364064341248224,0.4938669079030892,0.4768932409122939,0.44783650094392163,0.39861730148092,0.008453247745320922,0.009601718001953606,0.9677054006775211,0.0,Olivares ZB,T19HCD,1
2019-01-04 00:00:00.000000,2022-06-28 22:53:03.368250,,,,,,,,,,,,,,,100.0,La Paloma ZA,T19HDD,
2019-01-04 00:00:00.000000,2022-06-28 22:53:03.368250,,,,,,,,,,,,,,,100.0,La Paloma ZB,T19HDD,
2019-01-04 00:00:00.000000,2022-06-28 22:53:03.368250,,,,,,,,,,,,,,,100.0,Juncal ZA,T19HDD,
2019-01-04 00:00:00.000000,2022-06-28 22:53:03.368250,,,,,,,,,,,,,,,100.0,Juncal ZB,T19HDD,
2019-01-04 00:00:00.000000,2022-06-28 22:53:03.368250,,,,,,,,,,,,,,,100.0,Olivares ZA,T19HDD,
2019-01-04 00:00:00.000000,2022-06-28 22:53:03.368250,,,,,,,,,,,,,,,100.0,Olivares ZB,T19HDD,
2019-01-06 00:00:00.000000,2022-06-28 22:56:04.780841,,,,,,,,,,,,,,,100.0,La Paloma ZA,T19HCD,
2019-01-06 00:00:00.000000,2022-06-28 22:56:04.780841,,,,,,,,,,,,,,,100.0,La Paloma ZB,T19HCD,
2019-01-06 00:00:00.000000,2022-06-28 22:56:04.780841,415.93,0.8126260575118959,0.8017033737124953,0.8026934165113345,0.7827237272303181,0.7769685464133094,0.7484517474518536,0.6921413456470916,0.681831562142048,0.6431722389836145,0.7039513143148456,0.18143670913923746,0.1740459079616072,0.6649007648234413,0.0,Juncal ZA,T19HCD,0.7190357658429115
