timestamp,ingestion_time,SCA,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDSI,CLOUD_COVER,ID,GRANULE_ID,NDSI_MASK,VOLUME
2019-01-01,2022-06-28 22:44:14.696029,,,,,,,,,,,,,,,100.0,La Paloma ZA,T19HCD,,
2019-01-01,2022-06-28 22:44:14.696029,,,,,,,,,,,,,,,100.0,La Paloma ZB,T19HCD,,
2019-01-01,2022-06-28 22:44:14.696029,415.93,0.8400073442060458,0.8711427376489648,0.8836643461260095,0.8539342381373893,0.8349020062939837,0.7907504293698584,0.7178410636879257,0.702850928317168,0.6515590291857462,0.6273762258189506,0.0165144688967476,0.0171990542236495,0.9621349097064832,0.0,Juncal ZA,T19HCD,0.9968513097979798,429.24177872078155
2019-01-01,2022-06-28 22:44:14.696029,70.92,0.5394694482031336,0.5878679899996903,0.6212034828073403,0.6112625454911284,0.5997365846499814,0.5661060562343323,0.5131528993822513,0.5019931721300247,0.4650197687414596,0.4132132042004349,0.0120767839928717,0.0113621823912303,0.9578132720045652,0.0,Juncal ZB,T19HCD,0.9991360555047027,29.481788130774206
2019-01-01,2022-06-28 22:44:14.696029,615.59,0.7582806212717931,0.8157876493953918,0.8473503446734827,0.8213165515737233,0.7996548215153703,0.7521484950969028,0.6744662898205971,0.6564487669435805,0.6034256978401388,0.542553696187976,0.0115747312348875,0.011698547730385,0.9725359971412482,0.0,Olivares ZA,T19HCD,0.9995013436901984,777.1344383395385
2019-01-01,2022-06-28 22:44:14.696029,179.06,0.5302275967683114,0.5776636586466222,0.6104458015444415,0.6116627958458709,0.6046009986509265,0.5739399039653424,0.5258504049881094,0.5153391116630058,0.4774989765574706,0.4253279021300559,0.009260247259125,0.0091853499515994,0.9677156884104142,0.0,Olivares ZB,T19HCD,1.0,119.822358370318
2019-01-01,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,La Paloma ZA,T19HDD,,
2019-01-01,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,La Paloma ZB,T19HDD,,
2019-01-01,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,Juncal ZA,T19HDD,,
2019-01-01,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,Juncal ZB,T19HDD,,
2019-01-01,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,Olivares ZA,T19HDD,,
2019-01-01,2022-06-28 22:47:20.333317,,,,,,,,,,,,,,,100.0,Olivares ZB,T19HDD,,
2019-01-04,2022-06-28 22:50:06.425428,40.66,0.5553977569923864,0.6076894312669955,0.6421013945211275,0.6291181343720039,0.619249456088509,0.5978913041715919,0.5564459900520944,0.5399845424330119,0.5126374844383044,0.4647275559304343,0.0193746375692677,0.0227692431369292,0.939934293802128,0.0,La Paloma ZA,T19HCD,0.9986218850065336,12.69885431683515
2019-01-04,2022-06-28 22:50:06.425428,26.2,0.4009351226399688,0.4492396100409368,0.4858762645774734,0.4853122065622371,0.4803062687803915,0.4647700445569214,0.4375909127213819,0.4293990277946033,0.4076244944905871,0.3679997310730323,0.0175375778325204,0.0199056057363108,0.9260852162352032,0.0,La Paloma ZB,T19HCD,0.9963116022991908,6.528140216671784
2019-01-04,2022-06-28 22:50:06.425428,415.93,0.7990605289414551,0.8348965374969141,0.857566239328933,0.8304273928880942,0.8107828897999974,0.7681134154891612,0.6925139007444512,0.6665382319978603,0.6203323816916734,0.5851512176786753,0.0138439490238641,0.0163304554563265,0.9658074035435016,0.0,Juncal ZA,T19HCD,0.9961499244629302,429.24177872078155
2019-01-04,2022-06-28 22:50:06.425428,70.92,0.4852324688360901,0.5229996523217613,0.5542968434795696,0.5481306013230577,0.5385803464511403,0.5111742424041447,0.4649168459227135,0.4474761509310485,0.4187591156922829,0.3714999132186241,0.0090201618002767,0.0100363062310131,0.9642053142903042,0.0,Juncal ZB,T19HCD,0.9998424669346389,29.481788130774206
