timestamp,TA,HR,WD,WS,RG,RN,TX,TN,RG_SD,RN_SD,station
2019-01-01 00:00:00+00:00,5.869565217391305,13.074782608695651,282.4260869565218,4.4543478260869565,587.4941230621089,-92.42992709797399,2.56,2.56,609.572967905995,943.3778784816406,La Paloma ZA
2019-01-02 00:00:00+00:00,8.152083333333334,5.978333333333333,246.05124999999998,5.819166666666667,562.5208037642556,-291.42784545600824,4.19,4.19,607.990983063588,1000.701872650769,La Paloma ZA
2019-01-03 00:00:00+00:00,3.3841666666666668,1.0,252.36125,3.594583333333333,561.9783006921263,-296.63502703279346,2.42,2.42,607.8438275912288,969.3812172763048,La Paloma ZA
2019-01-04 00:00:00+00:00,3.0279166666666666,10.491666666666667,258.5579166666667,3.0812500000000003,561.3877357086179,-17.79209564023977,2.19,2.19,607.6739925974157,667.4758020573862,La Paloma ZA
2019-01-05 00:00:00+00:00,3.797083333333333,44.73875,267.53625,3.1783333333333332,560.7491611985832,269.46414844920406,3.48,3.48,607.4811306345202,472.49332255798817,La Paloma ZA
2019-01-06 00:00:00+00:00,3.67,35.88,243.72,4.38,0.0,181.18147816621868,3.67,3.67,0.0,0.49415090272567114,La Paloma ZA
2019-01-07 00:00:00+00:00,,,,,,,,,,,La Paloma ZA
2019-01-08 00:00:00+00:00,,,,,,,,,,,La Paloma ZA
2019-01-09 00:00:00+00:00,,,,,557.6945751995963,172.09662435580182,,,606.4563092683886,4.941509027257062,La Paloma ZA
2019-01-10 00:00:00+00:00,,,,,556.817085823652,155.32458655195526,,,606.1423996604758,4.941509027257057,La Paloma ZA
2019-01-11 00:00:00+00:00,,,,,555.892114855923,138.55254874810876,,,605.8029699694414,4.9415090272570525,La Paloma ZA
2019-01-12 00:00:00+00:00,,,,,554.9198009019314,121.78051094426223,,,605.437544170309,4.94150902725707,La Paloma ZA
2019-01-13 00:00:00+00:00,,,,,553.9003022421956,105.00847314041572,,,605.0456310142448,4.941509027257067,La Paloma ZA
2019-01-14 00:00:00+00:00,,,,,552.8337978142564,88.23643533656919,,,604.626724664104,4.941509027257058,La Paloma ZA
2019-01-15 00:00:00+00:00,,,,,551.7204878411083,71.46439753272267,,,604.1803054715667,4.941509027257066,La Paloma ZA
2019-01-16 00:00:00+00:00,,,,,550.5604682628928,54.69235972887614,,,603.7057490941598,4.941509027257072,La Paloma ZA
2019-01-17 00:00:00+00:00,,,,,549.3539834209572,37.92032192502962,,,603.2025110505717,4.941509027257065,La Paloma ZA
2019-01-18 00:00:00+00:00,,,,,548.1014226223846,21.1482841211831,,,602.670128261603,4.941509027257088,La Paloma ZA
2019-01-19 00:00:00+00:00,7.36,43.1,53.64000000000001,2.9500000000000006,524.9487324717994,273.2816727353055,7.36,7.36,599.5038661154962,424.2415835486173,La Paloma ZA
2019-01-20 00:00:00+00:00,7.36,43.1,53.64000000000001,2.9500000000000006,545.4776612326186,266.98316911968203,7.36,7.36,601.5294178194317,440.84412601008995,La Paloma ZA
2019-01-21 00:00:00+00:00,7.36,43.1,53.64000000000001,2.9500000000000006,544.0884834589426,238.429286927187,7.36,7.36,600.9062242757932,461.7748659648003,La Paloma ZA
2019-01-22 00:00:00+00:00,7.36,43.1,53.64000000000001,2.9500000000000006,542.654326279586,202.3840832781857,7.36,7.36,600.25159546601,491.83680102743034,La Paloma ZA
2019-01-23 00:00:00+00:00,10.203333333333333,30.567083333333333,195.88375,3.0704166666666666,541.1754263464658,-691.8347070735314,5.69,5.69,599.5649704071977,1988.2549711867503,La Paloma ZA
2019-01-24 00:00:00+00:00,11.430833333333332,31.438333333333333,220.89458333333334,3.1445833333333333,539.6519798930052,-754.623045828762,7.48,7.48,598.8458292203429,1530.3934103042877,La Paloma ZA
2019-01-25 00:00:00+00:00,9.580833333333333,31.831666666666667,285.67583333333334,2.7358333333333333,538.0841210054232,-163.88125656100596,7.9,7.9,598.0937283779492,871.5540364021573,La Paloma ZA
2019-01-26 00:00:00+00:00,10.00625,20.39708333333333,194.23375,2.6245833333333333,536.4718854268655,-2250.2095960984234,5.46,5.46,597.3083484242578,4949.264645669407,La Paloma ZA
2019-01-27 00:00:00+00:00,9.678333333333333,7.345416666666666,182.46124999999998,2.105,534.8653351824237,-5414.192041448584,4.37,4.37,596.4425511995507,8967.133310203482,La Paloma ZA
2019-01-28 00:00:00+00:00,10.334166666666667,15.202083333333334,153.31916666666666,2.606666666666667,533.331665226043,-6474.9022627315835,5.79,5.79,595.432727411415,9379.535479202337,La Paloma ZA
2019-01-29 00:00:00+00:00,9.4192,21.196399999999997,254.2952,2.786,510.4828674827641,-23064.41494744121,5.75,5.75,591.5146583790043,42284.2068700203,La Paloma ZA
2019-01-30 00:00:00+00:00,8.158333333333333,16.867083333333333,268.04041666666666,2.652083333333333,530.1276811893928,-9826.124443773662,2.61,2.61,593.3140746484386,20701.63741224301,La Paloma ZA
2019-01-31 00:00:00+00:00,7.701666666666667,32.96458333333333,187.09,2.5254166666666666,528.4567393106375,406.9457720988136,4.38,4.38,592.2042136236856,359.70535603343126,La Paloma ZA
2019-02-01 00:00:00+00:00,8.2075,39.12,112.89291666666666,2.6033333333333335,526.7403086046073,447.05692023823275,4.94,4.94,591.0606964170394,361.42639575805555,La Paloma ZA
2019-02-02 00:00:00+00:00,8.969583333333334,39.27,146.81333333333333,3.475,524.978554956568,446.67570093261116,4.83,4.83,589.8833996697017,352.78170925320495,La Paloma ZA
2019-02-03 00:00:00+00:00,9.76375,34.848333333333336,237.41333333333333,2.4429166666666666,523.1716621794778,429.188997026378,6.44,6.44,588.6722192005384,340.90664254641126,La Paloma ZA
2019-02-04 00:00:00+00:00,9.77875,26.275000000000002,216.08791666666664,2.64125,521.3198318735742,405.4113738460667,6.13,6.13,587.4270704039768,321.7085331449602,La Paloma ZA
2019-02-05 00:00:00+00:00,10.979583333333332,48.392500000000005,227.66833333333332,3.7495833333333333,519.4232840226219,500.29865053720283,8.78,8.78,586.1478891024915,437.21606822973735,La Paloma ZA
2019-02-06 00:00:00+00:00,9.487499999999999,53.312083333333334,114.10416666666667,2.9270833333333335,517.4822581725804,515.2887721441487,7.8,7.8,584.8346326861124,403.37271317410574,La Paloma ZA
2019-02-07 00:00:00+00:00,9.055416666666666,64.82375,177.92541666666668,3.639583333333333,515.4970149062282,542.6471758483445,7.38,7.38,583.4872813382173,440.0716428685039,La Paloma ZA
2019-02-08 00:00:00+00:00,6.9664,35.4252,266.6436,3.6192,492.92962364821875,380.3158730405584,6.04,6.04,579.0293805948829,287.0540636080447,La Paloma ZA
2019-02-09 00:00:00+00:00,4.762083333333334,8.179583333333333,256.6870833333333,4.0675,511.39555338172636,326.76224938366624,3.94,3.94,580.6907462361035,278.75407970877535,La Paloma ZA
2019-02-10 00:00:00+00:00,4.435833333333334,5.930833333333333,266.44,3.714166666666667,509.2794546935342,298.22398899727466,3.81,3.81,579.2412349602022,273.5960263129796,La Paloma ZA
2019-02-11 00:00:00+00:00,2.4162500000000002,38.76208333333333,295.1870833333333,5.5825,507.12042063820604,391.05319621581384,-0.49,-0.49,577.7577973913747,356.0261110536961,La Paloma ZA
2019-02-12 00:00:00+00:00,7.64,20.50166666666667,304.62833333333333,4.78625,504.9188357480254,379.89537261929985,6.23,6.23,576.2405394267005,301.6477135617422,La Paloma ZA
2019-02-13 00:00:00+00:00,5.265833333333333,20.750416666666666,218.255,3.6366666666666667,502.6751097791342,313.444900949348,3.12,3.12,574.6895915034619,286.25497629440616,La Paloma ZA
